name	notes	ingredient	page
KENTUCKEY KERNEL	CHITOSAN/GELLAN-WASHED MAKER'S MARK BOURBON	WHSIKEY (BOURBON, CHITOSAN/GELLAN-WASHED)	345
KENTUCKEY KERNEL	CLARIFIED ASHMEAD'S KERNEL JUICE	JUICE (CLARIFIED ASHMEAD'S KERNEL)	345
KENTUCKEY KERNEL	FILTERED WATER	WATER	345
KENTUCKEY KERNEL	SALINE SOLUTION	SALINE SOLUTION	345

BOTTLED CARAMEL APPLETINI	VODKA	VODKA	347
BOTTLED CARAMEL APPLETINI	DOLIN BLANC	VERMOUTH (BLANC)	347
BOTTLED CARAMEL APPLETINI	FILTERED WATER	WATER	347
BOTTLED CARAMEL APPLETINI	CLARIFIED WICKSON CRABAPPLE JUICE	JUICE (CLARIFIED WICKSON CRABAPPLE)	347
BOTTLED CARAMEL APPLETINI	CARAMEL SYRUP	SYRUP (CARAMEL)	347
BOTTLED CARAMEL APPLETINI	ORANGE BITTERS	BITTERS (ORANGE)	347
BOTTLED CARAMEL APPLETINI	SALINE SOLUTION	SALINE SOLUTION	347

SHAKERATO WITH MILK	ESPRESSO	COFFEE (ESPRESSO)	353
SHAKERATO WITH MILK	WHOLE MILK	CREAM (WHOLE MILK)	353
SHAKERATO WITH MILK	SIMPLE SYRUP	SYRUP (SIMPLE)	353
SHAKERATO WITH MILK	SALINE SOLUTION	SALINE SOLUTION	353

BOOZY SHAKERATO	ESPRESSO	COFFEE (ESPRESSO)	354
BOOZY SHAKERATO	DARK RUM	RUM (DARK)	354
BOOZY SHAKERATO	HEAVY CREAM	CREAM (HEAVY)	354
BOOZY SHAKERATO	SIMPLE SYRUP	SYRUP (SIMPLE)	354
BOOZY SHAKERATO	SALINE SOLUTION	SALINE SOLUTION	354

BOOZY SHAKERATO 2	ESPRESSO	COFFEE (ESPRESSO)	355
BOOZY SHAKERATO 2	DARK RUM	RUM (DARK)	355
BOOZY SHAKERATO 2	SIMPLE SYRUP	SYRUP (SIMPLE)	355
BOOZY SHAKERATO 2	SALINE SOLUTION	SALINE SOLUTION	355
BOOZY SHAKERATO 2	WHOLE MILK	CREAM (WHOLE MILK)	355

NITROUS ESPRESSO	ESPRESSO	COFFEE (ESPRESSO)	357
NITROUS ESPRESSO	VODKA	VODKA	357
NITROUS ESPRESSO	SIMPLE SYRUP	SYRUP (SIMPLE)	357
NITROUS ESPRESSO	FILTERED WATER	WATER	357
NITROUS ESPRESSO	SALINE SOLUTION	SALINE SOLUTION	357

COFFEE ZACAPA COCKTAIL	COFFEE ZACAPA	RUM (ZACAPA, COFFEE INFUSED)	359
COFFEE ZACAPA COCKTAIL	SIMPLE SYRUP	SYRUP (SIMPLE)	359
COFFEE ZACAPA COCKTAIL	SALINE SOLUTION	SALINE SOLUTION	359

THE BEST G&T YOU CAN MUSTER IF YOU CAN'T MUSTER MUCH	GIN	GIN	362
THE BEST G&T YOU CAN MUSTER IF YOU CAN'T MUSTER MUCH	TONIC WATER	WATER (TONIC)	362
THE BEST G&T YOU CAN MUSTER IF YOU CAN'T MUSTER MUCH	LIME	FRUIT (LIME)	362

COLD BUTTERED RUM	SPICED RUM, SUCH AS SAILOR JERRY	RUM (SPICED)	55
COLD BUTTERED RUM 	BUTTER SYRUP	SYRUP (BUTTER)	55
COLD BUTTERED RUM	FRESH LIME JUICE	JUICE (LIME)	55
